"Timestamp","320.005-SB401_R_Tl_Etl","320.005-RT503_Tl_Etl"
"23/02/2022 19:23:00","40,000","36,640"
"23/02/2022 19:22:00","40,000","36,630"
"23/02/2022 19:21:00","40,000","36,640"
"23/02/2022 19:20:00","40,000","36,640"
"23/02/2022 19:19:00","40,000","36,640"
"23/02/2022 19:18:00","40,000","36,650"
"23/02/2022 19:17:00","40,000","36,640"
"23/02/2022 19:16:00","40,000","36,650"
"23/02/2022 19:15:00","40,000","36,650"
"23/02/2022 19:14:00","40,000","36,660"
"23/02/2022 19:13:00","40,000","36,660"
"23/02/2022 19:12:00","40,000","36,670"
"23/02/2022 19:11:00","40,000","36,670"
"23/02/2022 19:10:00","40,000","36,680"
"23/02/2022 19:09:00","40,000","36,680"
"23/02/2022 19:08:00","40,000","36,700"
"23/02/2022 19:07:00","40,000","36,700"
"23/02/2022 19:06:00","40,000","36,710"
"23/02/2022 19:05:00","40,000","36,720"
"23/02/2022 19:04:00","40,000","36,720"
"23/02/2022 19:03:00","40,000","36,730"
"23/02/2022 19:02:00","40,000","36,730"
"23/02/2022 19:01:00","40,000","36,740"
"23/02/2022 19:00:00","40,000","36,740"
"23/02/2022 18:59:00","40,000","36,750"
"23/02/2022 18:58:00","40,000","36,750"
"23/02/2022 18:57:00","40,000","36,760"
"23/02/2022 18:56:00","40,000","36,770"
"23/02/2022 18:55:00","40,000","36,770"
"23/02/2022 18:54:00","40,000","36,770"
"23/02/2022 18:53:00","40,000","36,770"
"23/02/2022 18:52:00","40,000","36,770"
"23/02/2022 18:51:00","40,000","36,770"
"23/02/2022 18:50:00","40,000","36,780"
"23/02/2022 18:49:00","40,000","36,770"
"23/02/2022 18:48:00","40,000","36,770"
"23/02/2022 18:47:00","40,000","36,760"
"23/02/2022 18:46:00","40,000","36,770"
"23/02/2022 18:45:00","40,000","36,760"
"23/02/2022 18:44:00","40,000","36,760"
"23/02/2022 18:43:00","40,000","36,750"
"23/02/2022 18:42:00","40,000","36,750"
"23/02/2022 18:41:00","40,000","36,740"
"23/02/2022 18:40:00","40,000","36,740"
"23/02/2022 18:39:00","40,000","36,740"
"23/02/2022 18:38:00","40,000","36,740"
"23/02/2022 18:37:00","40,000","36,730"
"23/02/2022 18:36:00","40,000","36,720"
"23/02/2022 18:35:00","40,000","36,720"
"23/02/2022 18:34:00","40,000","36,710"
"23/02/2022 18:33:00","40,000","36,710"
"23/02/2022 18:32:00","40,000","36,700"
"23/02/2022 18:31:00","40,000","36,690"
"23/02/2022 18:30:00","40,000","36,690"
"23/02/2022 18:29:00","40,000","36,690"
"23/02/2022 18:28:00","40,000","36,690"
"23/02/2022 18:27:00","40,000","36,670"
"23/02/2022 18:26:00","40,000","36,670"
"23/02/2022 18:25:00","40,000","36,670"
"23/02/2022 18:24:00","40,000","36,670"
"23/02/2022 18:23:00","40,000","36,660"
"23/02/2022 18:22:00","40,000","36,650"
"23/02/2022 18:21:00","40,000","36,650"
"23/02/2022 18:20:00","40,000","36,640"
"23/02/2022 18:19:00","40,000","36,630"
"23/02/2022 18:18:00","40,000","36,630"
"23/02/2022 18:17:00","40,000","36,620"
"23/02/2022 18:16:00","40,000","36,610"
"23/02/2022 18:15:00","40,000","36,610"
"23/02/2022 18:14:00","40,000","36,600"
"23/02/2022 18:13:00","40,000","36,590"
"23/02/2022 18:12:00","40,000","36,590"
"23/02/2022 18:11:00","40,000","36,570"
"23/02/2022 18:10:00","40,000","36,570"
"23/02/2022 18:09:00","40,000","36,560"
"23/02/2022 18:08:00","40,000","36,560"
"23/02/2022 18:07:00","40,000","36,550"
"23/02/2022 18:06:00","40,000","36,540"
"23/02/2022 18:05:00","40,000","36,530"
"23/02/2022 18:04:00","40,000","36,520"
"23/02/2022 18:03:00","40,000","36,520"
"23/02/2022 18:02:00","40,000","36,500"
"23/02/2022 18:01:00","40,000","36,490"
"23/02/2022 18:00:00","40,000","36,490"
"23/02/2022 17:59:00","40,000","36,480"
"23/02/2022 17:58:00","40,000","36,460"
"23/02/2022 17:57:00","40,000","36,450"
"23/02/2022 17:56:00","40,000","36,440"
"23/02/2022 17:55:00","40,000","36,430"
"23/02/2022 17:54:00","40,000","36,420"
"23/02/2022 17:53:00","40,000","36,410"
"23/02/2022 17:52:00","40,000","36,390"
"23/02/2022 17:51:00","40,000","36,380"
"23/02/2022 17:50:00","40,000","36,370"
"23/02/2022 17:49:00","40,000","36,360"
"23/02/2022 17:48:00","40,000","36,340"
"23/02/2022 17:47:00","40,000","36,320"
"23/02/2022 17:46:00","40,000","36,310"
"23/02/2022 17:45:00","40,000","36,280"
"23/02/2022 17:44:00","40,000","36,280"
"23/02/2022 17:43:00","40,000","36,260"
"23/02/2022 17:42:00","40,000","36,240"
"23/02/2022 17:41:00","40,000","36,220"
"23/02/2022 17:40:00","40,000","36,210"
"23/02/2022 17:39:00","40,000","36,200"
"23/02/2022 17:38:00","40,000","36,180"
"23/02/2022 17:37:00","40,000","36,170"
"23/02/2022 17:36:00","40,000","36,160"
"23/02/2022 17:35:00","40,000","36,150"
"23/02/2022 17:34:00","40,000","36,130"
"23/02/2022 17:33:00","40,000","36,120"
"23/02/2022 17:32:00","40,000","36,110"
"23/02/2022 17:31:00","40,000","36,090"
"23/02/2022 17:30:00","40,000","36,080"
"23/02/2022 17:29:00","40,000","36,070"
"23/02/2022 17:28:00","40,000","36,050"
"23/02/2022 17:27:00","40,000","36,030"
"23/02/2022 17:26:00","40,000","36,020"
"23/02/2022 17:25:00","40,000","36,000"
"23/02/2022 17:24:00","40,000","35,980"
"23/02/2022 17:23:00","40,000","35,970"
"23/02/2022 17:22:00","40,000","35,950"
"23/02/2022 17:21:00","40,000","35,950"
"23/02/2022 17:20:00","40,000","35,940"
"23/02/2022 17:19:00","40,000","35,940"
"23/02/2022 17:18:00","40,000","35,940"
"23/02/2022 17:17:00","40,000","35,950"
"23/02/2022 17:16:00","40,000","35,950"
"23/02/2022 17:15:00","40,000","35,950"
"23/02/2022 17:14:00","40,000","35,960"
"23/02/2022 17:13:00","40,000","35,970"
"23/02/2022 17:12:00","40,000","35,980"
"23/02/2022 17:11:00","40,000","35,980"
"23/02/2022 17:10:00","40,000","35,980"
"23/02/2022 17:09:00","40,000","35,990"
"23/02/2022 17:08:00","40,000","35,980"
"23/02/2022 17:07:00","40,000","35,990"
"23/02/2022 17:06:00","40,000","35,990"
"23/02/2022 17:05:00","40,000","35,990"
"23/02/2022 17:04:00","40,000","35,990"
"23/02/2022 17:03:00","40,000","35,990"
"23/02/2022 17:02:00","40,000","35,990"
"23/02/2022 17:01:00","40,000","35,990"
"23/02/2022 17:00:00","40,000","35,990"
"23/02/2022 16:59:00","40,000","35,980"
"23/02/2022 16:58:00","40,000","35,980"
"23/02/2022 16:57:00","40,000","35,970"
"23/02/2022 16:56:00","40,000","35,970"
"23/02/2022 16:55:00","40,000","35,970"
